"Model","Parameter","Estimate","Est.Error","Q2.5","Q97.5"
"Primary","b_Intercept",21.26,0.5,20.31,22.25
"Primary","b_c_BASELINE_ADAScog",0.96,0.04,0.87,1.04
"Primary","b_RandomisationiCST",-1,0.67,-2.31,0.32
"Primary","sigma",5.82,0.25,5.37,6.33
"Primary","Intercept",20.5,0.37,19.79,21.22
"Primary","lprior",-8.4,0.27,-8.98,-7.94
"Primary","lp__",-836.25,1.38,-839.58,-834.52
"Optimistic","b_Intercept",21.3,0.48,20.34,22.23
"Optimistic","b_c_BASELINE_ADAScog",0.96,0.04,0.87,1.05
"Optimistic","b_RandomisationiCST",-1.08,0.67,-2.38,0.24
"Optimistic","sigma",5.82,0.26,5.32,6.35
"Optimistic","Intercept",20.49,0.36,19.8,21.21
"Optimistic","lprior",-10.29,0.38,-11.11,-9.65
"Optimistic","lp__",-838.19,1.45,-841.92,-836.44
"Pessimistic","b_Intercept",21.16,0.49,20.18,22.1
"Pessimistic","b_c_BASELINE_ADAScog",0.96,0.04,0.87,1.04
"Pessimistic","b_RandomisationiCST",-0.8,0.65,-2.07,0.51
"Pessimistic","sigma",5.82,0.25,5.37,6.35
"Pessimistic","Intercept",20.5,0.35,19.8,21.18
"Pessimistic","lprior",-9.88,0.24,-10.41,-9.45
"Pessimistic","lp__",-837.65,1.34,-840.98,-835.99
